"City","min_Sales"
"Houston",0.444
"Waco",0.556
"Chicago",0.836
"Philadelphia",0.852
"Mesquite",0.876
"Huntsville",0.898
"San Francisco",0.99
"Dallas",1.044
"Aurora",1.08
"Portland",1.08
"Jacksonville",1.167
"Loveland",1.188
"Auburn",1.24
"San Antonio",1.272
"Arlington",1.344
"Seattle",1.344
"Tampa",1.344
"Abilene",1.392
"Bryan",1.408
"Phoenix",1.408
"San Jose",1.44
"Toledo",1.448
"Mcallen",1.476
"Memphis",1.584
"Pasadena",1.624
"Baltimore",1.64
"Peoria",1.68
"Troy",1.68
"Fort Worth",1.696
"New York City",1.728
"Rockford",1.728
"Brownsville",1.744
"Burlington",1.752
"Roswell",1.78
"Madison",1.81
"Santa Barbara",1.81
"Elyria",1.824
"Miami",1.869
"Denver",1.872
"Colorado Springs",1.938
"Quincy",1.964
"Columbus",1.98
"Sheboygan",1.98
"Hialeah",1.984
"Jupiter",2.064
"Edinburg",2.068
"Detroit",2.2
"Chico",2.21
"Cuyahoga Falls",2.214
"Pensacola",2.214
"Cranston",2.22
"Salem",2.224
"Akron",2.286
"Laredo",2.286
"Round Rock",2.304
"Skokie",2.304
"Springfield",2.313
"Glendale",2.368
"Parker",2.376
"Pompano Beach",2.376
"Murfreesboro",2.469
"Fargo",2.48
"Roseville",2.48
"Johnson City",2.508
"Carrollton",2.512
"Jackson",2.61
"Louisville",2.61
"Cincinnati",2.624
"Daytona Beach",2.624
"Marion",2.624
"Tyler",2.688
"Port Saint Lucie",2.694
"Chester",2.696
"Atlanta",2.74
"Austin",2.772
"Buffalo",2.78
"Tallahassee",2.784
"Bristol",2.808
"Naperville",2.808
"Ormond Beach",2.808
"Franklin",2.816
"Newport News",2.84
"Highland Park",2.88
"Los Angeles",2.88
"Richmond",2.88
"Rome",2.88
"Trenton",2.88
"Des Plaines",2.892
"Raleigh",2.892
"Lancaster",2.907
"Woodstock",2.912
"Long Beach",2.94
"Homestead",2.944
"Apopka",2.952
"Lorain",2.97
"Sioux Falls",2.97
"Clarksville",3
"La Crosse",3.04
"San Diego",3.08
"Concord",3.104
"Leominster",3.15
"Oakland",3.15
"Fort Collins",3.168
"Thomasville",3.204
"Wilmington",3.282
"Boise",3.304
"Charlotte",3.304
"Anaheim",3.36
"Tempe",3.366
"Huntington Beach",3.38
"Newark",3.38
"Plano",3.392
"Pueblo",3.408
"Tamarac",3.444
"Allentown",3.488
"League City",3.488
"Nashville",3.488
"Lawton",3.52
"Waterbury",3.52
"Chattanooga",3.564
"San Luis Obispo",3.62
"Reno",3.64
"Grove City",3.648
"Grand Prairie",3.656
"Indianapolis",3.69
"Lawrence",3.69
"Eagan",3.75
"Woodland",3.75
"Lakewood",3.76
"Virginia Beach",3.76
"Lakeland",3.768
"Dublin",3.798
"Fairfield",3.816
"Oswego",3.828
"Everett",3.856
"Pembroke Pines",3.882
"Lafayette",3.89
"Midland",3.9
"Riverside",3.984
"Orlando",4.086
"Greensboro",4.095
"Suffolk",4.13
"Hillsboro",4.158
"Carlsbad",4.17
"Tucson",4.272
"Albuquerque",4.28
"Springdale",4.3
"Fresno",4.32
"Hendersonville",4.338
"Lowell",4.36
"Redondo Beach",4.36
"Knoxville",4.368
"Mesa",4.368
"Scottsdale",4.401
"Greenwood",4.41
"Altoona",4.419
"El Paso",4.428
"Westminster",4.448
"Meriden",4.56
"Hickory",4.572
"Boca Raton",4.608
"Boynton Beach",4.608
"Coral Springs",4.608
"Westfield",4.66
"Plantation",4.662
"Bakersfield",4.73
"Gastonia",4.768
"Clinton",4.77
"Sanford",4.842
"Orange",4.91
"Fayetteville",4.928
"Layton",4.96
"Florence",4.98
"Tigard",5.022
"Cleveland",5.04
"Irving",5.04
"Omaha",5.04
"Redlands",5.04
"West Jordan",5.04
"Salinas",5.16
"Bloomington",5.176
"Deltona",5.184
"Harlingen",5.184
"Port Arthur",5.184
"Parma",5.248
"Bellevue",5.28
"Georgetown",5.28
"Henderson",5.32
"Columbia",5.4
"Oklahoma City",5.5
"Bowling Green",5.553
"Superior",5.56
"Danville",5.58
"Plainfield",5.58
"Bossier City",5.64
"Marietta",5.64
"Smyrna",5.67
"Garden City",5.76
"Manchester",5.76
"Rancho Cucamonga",5.76
"Bolingbrook",5.768
"Milwaukee",5.82
"Lansing",5.84
"Pasco",5.88
"Gilbert",5.904
"Santa Ana",5.94
"Sandy Springs",5.95
"Inglewood",5.98
"Sunnyvale",5.984
"Keller",6
"Corpus Christi",6.048
"Durham",6.048
